pid,pod.id,dry.date,poll.status,length.dry,tot.num.seeds,num.m.seeds,notes
96,08,coll.date,unmarked,62.22,58,58,wet
96,09,coll.date,unmarked,41.6,45,45,dry
96,10,coll.date,pollinated,54.96,58,58,dry
96,11,coll.date,pollinated,42.3,44,44,wet
96,12,coll.date,unmarked,59.74,72,72,wet
96,13,coll.date,unmarked,49.98,39,39,wet
96,14,coll.date,unmarked,51.53,42,42,wet
96,15,coll.date,pollinated,54.5,65,65,wet
96,01,coll.date,pollinated,60.61,65,65,
96,02,coll.date,pollinated,56.72,56,56,
96,03,coll.date,unmarked,58.41,65,65,mold
96,04,coll.date,pollinated,63.22,65,65,mold
96,05,coll.date,pollinated,64.33,61,61,
96,06,coll.date,pollinated,47.54,48,48,
96,07,coll.date,unmarked,59.1,70,70,mold
96,08,coll.date,pollinated,52.04,69,69,
96,09,coll.date,unmarked,58.04,62,62,
96,10,coll.date,pollinated,49.62,47,47,mold
98,01,coll.date,unmarked,39.7,31,31,
98,02,coll.date,unmarked,52.18,74,74,
98,03,coll.date,unmarked,44.27,56,56,
100,01,coll.date,bee,54.88,20,20,
100,02,coll.date,pollinated,57.61,50,50,
100,03,coll.date,pollinated,56.62,23,23,
100,04,coll.date,pollinated,64.34,78,78,
100,05,coll.date,unmarked,65.37,80,80,
100,06,coll.date,unmarked,49.7,72,72,
100,07,coll.date,unmarked,56.62,31,31,
100,08,coll.date,pollinated,73.95,70,70,
100,09,coll.date,unmarked,60.29,59,59,
100,10,coll.date,unmarked,63.26,59,59,
102,01,coll.date,unmarked,48.95,13,13,
102,02,coll.date,unmarked,64.53,58,58,
102,03,coll.date,unmarked,65.13,62,62,
102,04,coll.date,unmarked,67.16,59,59,
102,05,coll.date,unmarked,54.8,40,40,
102,06,coll.date,unmarked,56.96,45,45,
102,07,coll.date,unmarked,47.66,27,27,
102,08,coll.date,unmarked,53.27,40,40,
102,09,coll.date,unmarked,50,39,39,
102,10,coll.date,unmarked,42.77,10,10,
106,01,coll.date,unmarked,51.19,44,44,
106,02,coll.date,unmarked,46.83,34,34,
106,03,coll.date,unmarked,51.39,20,20,
106,04,coll.date,unmarked,43.42,18,18,
106,05,coll.date,deformed,50.26,51,51,
108,01,coll.date,unmarked,61.35,83,83,
108,02,coll.date,unmarked,58.89,68,68,
108,03,coll.date,unmarked,47.68,54,54,
108,04,coll.date,unmarked,48.78,43,43,
108,05,coll.date,unmarked,67.2,65,65,
108,06,coll.date,unmarked,59.9,54,54,
108,07,coll.date,unmarked,55.82,70,70,
108,08,coll.date,deformed,61.65,36,36,
108,09,coll.date,unmarked,58.48,32,32,
108,10,coll.date,unmarked,53.66,19,19,
112,01,coll.date,unmarked,51.44,29,29,
112,02,coll.date,unmarked,47.08,42,42,
112,03,coll.date,unmarked,39.48,37,37,
112,04,coll.date,unmarked,48.48,51,51,
112,05,coll.date,unmarked,42.76,32,32,
112,06,coll.date,unmarked,46.82,40,40,
114,01,coll.date,unmarked,33.71,5,5,
114,02,coll.date,unmarked,35.22,12,10,2 sprouted 11/3
114,03,coll.date,unmarked,33.91,18,14,3 sprouted 11/3
116,01,coll.date,unmarked,36.61,19,19,
116,02,coll.date,unmarked,40.89,32,32,
116,03,coll.date,unmarked,39.2,34,34,
116,04,coll.date,unmarked,37.45,40,40,
118,01,coll.date,unmarked,62.48,77,77,
118,02,coll.date,unmarked,60.76,19,19,
118,03,coll.date,unmarked,62.77,40,40,
118,04,coll.date,unmarked,65.41,23,23,
118,05,coll.date,unmarked,55.65,35,35,
118,06,coll.date,unmarked,61.29,33,33,
118,07,coll.date,unmarked,53.07,43,43,
118,08,coll.date,unmarked,58.42,25,25,
118,09,coll.date,unmarked,67.43,30,30,
118,10,coll.date,unmarked,51.32,38,38,
120,01,coll.date,unmarked,44.91,57,57,
120,02,coll.date,unmarked,46.48,73,73,
120,03,coll.date,unmarked,42.91,54,54,
120,04,coll.date,unmarked,46.57,41,41,
120,05,coll.date,unmarked,49.36,47,47,
120,06,coll.date,unmarked,47.72,54,54,
120,07,coll.date,unmarked,52.33,66,66,
120,08,coll.date,unmarked,56.8,50,50,
120,09,coll.date,unmarked,50.01,84,84,
120,10,coll.date,unmarked,53.26,64,64,
122,01,coll.date,unmarked,48.41,45,45,
122,02,coll.date,pollinated,41.28,30,30,
122,03,coll.date,unmarked,44.21,45,45,
122,04,coll.date,unmarked,55.31,25,25,
122,05,coll.date,unmarked,54.83,48,48,
122,06,coll.date,unmarked,68.38,52,52,
122,07,coll.date,unmarked,58.28,70,70,
122,08,coll.date,unmarked,61.81,34,34,
122,09,coll.date,unmarked,43.99,30,30,
122,10,coll.date,unmarked,60.21,65,65,
124,01,coll.date,unmarked,43.3,43,43,
124,02,coll.date,deformed,48.54,25,25,
124,03,coll.date,unmarked,53.82,30,30,
124,04,coll.date,unmarked,46.16,60,60,
124,05,coll.date,unmarked,40.65,27,27,
124,06,coll.date,unmarked,48.59,50,50,
124,07,coll.date,deformed,40.52,10,10,
124,08,coll.date,deformed,51.44,14,14,
124,09,coll.date,unmarked,42.64,25,25,
126,01,coll.date,deformed,58.04,86,86,
126,02,coll.date,unmarked,65.67,64,64,
126,03,coll.date,unmarked,47.27,43,43,
126,04,coll.date,unmarked,44.36,12,12,
126,05,coll.date,unmarked,46.54,20,20,
