date,PID,num.flowers,pollen.pid,condition,bee pollinated?,spodoptera damage?
7/28,164,6,58,,,
7/28,168,1,150,D,,
7/29,24,2,82,D,,
7/29,30,1,64,,,
7/29,34,3,68,,,
7/29,58,4,76,,,
7/29,64,4,152,,,
7/29,68,5,34,,,
7/29,302,1,100,D,,
7/29,74,1,96,,,
7/29,76,1,164,,,
7/29,78,1,162,,,
7/29,80,1,154,D,,
7/29,82,1,24,D,,
7/29,190,1,98,D,,
7/29,90,1,300,D,,
7/29,94,1,108,D,,
7/29,96,5,74,,,
7/29,98,1,190,D,,
7/29,100,2,302,D,,
7/29,106,2,150,D,,
7/29,108,1,94,D,,
7/29,300,1,90,D,,
7/29,120,1,130,D,,
7/29,122,1,156,D,,
7/29,128,1,80,D,,
7/29,130,1,160,D,,
7/29,150,1,106,D,,
7/29,152,3,30,,,
7/29,154,1,128,D,,
7/29,156,2,122,D,,
7/29,160,1,120,D,,
7/29,162,10,78,,,
7/29,164,4,58,,,
7/31,304,2,18,D,,
7/31,178,5,34,,,
7/31,14,2,194,D,,
7/31,18,2,304,D,,
7/31,194,2,14,D,,
7/31,30,6,64,,,
7/31,34,2,178,,,
7/31,58,5,164,,,
7/31,64,7,30,,,
7/31,68,7,162,,,
7/31,74,4,96,,,
7/31,78,3,68,,,
7/31,96,8,74,,,
7/31,102,1,136,D,,
7/31,108,1,120,D,,
7/31,118,1,126,D,,
7/31,120,4,108,D,,
7/31,124,1,102,D,,
7/31,126,1,118,D,,
7/31,136,2,124,D,,
7/31,138,1,166,D,,
7/31,142,1,148,D,,
7/31,148,1,142,D,,
7/31,162,4,68,,,
7/31,164,5,58,,,
7/31,166,2,138,D,,
8/4,178,3,68,,,
8/4,30,4,152,,,
8/4,58,2,162,,,
8/4,64,3,,,yes,
8/4,68,12,68,,yes,
8/4,96,9,164,,yes,
8/4,152,2,,,yes,
8/4,162,2,58,,,
8/4,164,4,,,yes,
8/5,304,3,18,D,,
8/5,8,1,56,D,,
8/5,14,1,36,D,,
8/5,18,1,304,D,,
8/5,30,1,64,,,
8/5,36,1,14,D,,
8/5,37,2,131,,,
8/5,45,4,57,,,
8/5,48,1,302,,yes,
8/5,56,1,8,,yes,
8/5,57,4,45,,,
8/5,64,10,30,,yes,
8/5,68,8,78,,yes,
8/5,302,1,48,,,
8/5,74,6,96,,yes,
8/5,78,6,68,,,
8/5,82,1,,,yes,
8/5,86,1,100,D,,
8/5,92,1,140,D,,
8/5,96,2,74,,yes,
8/5,99,1,131,,,
8/5,100,2,,,yes,
8/5,102,1,,,yes,
8/5,108,1,100,D,,
8/5,120,1,142,D,,
8/5,128,1,,,yes,
8/5,131,1,99,,,
8/5,136,2,128,D,,
8/5,138,1,,,yes,
8/5,140,1,92,D,,
8/5,142,1,,,yes,
8/5,152,4,162,,yes,
8/5,156,1,166,D,,
8/5,162,6,74,,,
8/5,164,3,,,yes,
8/5,166,2,156,D,,
8/9,304,1,96,D,,
8/9,178,2,68,,,
8/9,14,3,48,D,,
8/9,24,1,14,D,,
8/9,29,1,39,,,
8/9,30,2,64,,,
8/9,37,5,131,,,
8/9,39,1,29,,,
8/9,48,1,14,D,,
8/9,57,2,87,,,
8/9,64,10,30,,yes,
8/9,68,12,178,,yes,
8/9,74,7,,,yes,
8/9,78,5,68,,yes,
8/9,82,1,96,D,,
8/9,87,3,87,,,
8/9,96,11,162,,yes,
8/9,99,1,45,,,
8/9,118,1,150,D,,
8/9,120,1,128,D,,
8/9,124,3,124,D,,
8/9,128,1,120,D,,
8/9,131,4,37,,,
8/9,150,2,118,D,,
8/9,152,5,30,,yes,
8/9,160,1,128,D,,
8/9,162,3,68,,yes,
8/9,164,7,,,yes,
8/9,166,2,96,D,,
8/11,29,2,37,,,
8/11,37,7,29,,,
8/11,39,4,39,,,
8/11,45,8,135,,,
8/11,57,6,75,,,
8/11,75,7,57,,,
8/11,83,2,39,,,
8/11,87,4,99,,,
8/11,99,11,87,,,
8/11,123,1,131,,,
8/11,131,5,133,,,
8/11,133,1,131,,,
8/11,135,3,45,,,
8/12,56,5,64,D,,
8/12,64,14,152,,yes,
8/12,68,12,78,,yes,
8/12,74,10,64,,yes,
8/12,78,7,162,,yes,
8/12,96,11,,,yes,
8/12,102,4,64,D,,
8/12,144,2,64,D,,
8/12,152,2,,,yes,
8/12,162,6,,,yes,
8/14,5,4,37,,,yes
8/14,29,2,37,,,
8/14,33,11,45,,,yes
8/14,37,14,5,,,
8/14,39,9,83,,,
8/14,45,14,33,,,yes
8/14,57,8,75,,,
8/14,65,5,5,,,yes
8/14,75,5,57,,,
8/14,83,10,39,,,
8/14,87,6,99,,,
8/14,93,1,135,,,
8/14,95,6,133,,,
8/14,99,14,87,,,yes
8/14,123,2,131,,,
8/14,131,11,123,,,yes
8/14,133,18,95,,,
8/14,135,13,143,,,
8/14,139,3,155,,,yes
8/14,143,7,135,,,yes
8/14,155,8,139,,,
8/14,167,14,131,,,yes
8/14,304,1,122,D,,
8/14,14,1,48,D,,
8/14,46,3,68,D,,
8/14,48,7,14,D,,
8/14,56,3,72,D,,
8/14,64,7,56,,yes,
8/14,68,5,46,,yes,
8/14,72,1,56,D,,
8/14,74,4,,,yes,
8/14,96,8,,,yes,
8/14,100,1,48,D,,
8/14,102,2,128,D,,
8/14,104,5,122,D,,
8/14,112,3,118,D,,
8/14,118,3,112,D,,
8/14,122,1,104,D,,
8/14,128,1,102,D,,
8/14,152,1,,,yes,
8/14,162,6,68,,yes,
8/14,164,,,,yes,
8/15,304,1,38,D,,
8/15,196,1,46,D,,
8/15,29,2,37,,,
8/15,37,4,29,,,
8/15,38,3,304,,,
8/15,45,3,33,,,yes
8/15,56,3,72,D,,
8/15,64,8,74,,yes,
8/15,68,3,162,,,yes
8/15,72,1,56,D,,
8/15,90,1,138,D,,
8/15,94,2,108,D,,
8/15,102,2,124,D,,
8/15,106,2,126,D,,
8/15,108,3,94,D,,
8/15,112,2,118,D,,
8/15,118,1,112,D,,
8/15,120,1,118,D,,
8/15,122,3,138,D,,
8/15,124,2,102,D,,
8/15,126,3,106,D,,
8/15,138,2,122,D,,
8/15,148,1,160,D,,
8/15,150,1,168,D,,
8/15,154,3,166,D,,
8/15,160,1,148,D,,
8/15,166,1,154,D,,
8/15,168,1,150,D,,
8/15,74,6,96,,yes,
8/15,78,3,68,,yes,
8/15,96,3,74,,yes,
8/15,152,1,68,,,
8/15,162,3,68,,yes,
8/15,164,2,,,yes,
8/16,46,1,26,D,,
8/16,56,3,154,D,,
8/16,64,3,,,yes,
8/16,68,2,78,,,
8/16,74,3,96,,,
8/16,76,1,108,D,,
8/16,78,2,68,,,
8/16,96,3,74,,yes,
8/16,100,2,76,D,,
8/16,192,2,74,D,,
8/16,108,4,100,D,,
8/16,126,1,46,D,,
8/16,128,1,154,D,,
8/16,146,1,96,D,,
8/16,150,1,126,D,,
8/16,152,2,64,,yes,
8/16,154,1,56,D,,
8/16,162,6,126,,yes,
8/16,164,2,108,,yes,
8/16,5,2,27,,,
8/16,29,2,5,,,
8/16,33,3,45,,,
8/16,37,4,167,,,
8/16,39,2,133,,,
8/16,45,2,33,,,yes
8/16,57,5,75,,,
8/16,65,4,,,,yes
8/16,75,2,57,,,yes
8/16,83,4,95,,,
8/16,87,1,155,,,
8/16,95,6,39,,,
8/16,99,6,87,,,yes
8/16,117,1,123,,,
8/16,123,1,117,,,
8/16,131,2,117,,,
8/16,133,6,39,,,yes
8/16,135,3,45,,,
8/16,155,5,87,,,
8/16,161,1,155,,,
8/16,167,6,37,,,
8/17,10,2,130,D,,
8/17,196,1,162,D,,
8/17,46,1,162,D,,
8/17,56,2,64,D,,
8/17,64,3,152,,,
8/17,68,2,78,,yes,
8/17,74,4,96,,yes,
8/17,78,2,68,,,
8/17,96,7,74,,yes,
8/17,98,1,162,D,,
8/17,106,1,162,D,,
8/17,108,2,10,D,,
8/17,130,1,10,D,,
8/17,144,2,64,D,,
8/17,150,1,162,D,,
8/17,152,3,64,,,
8/17,162,8,78,,yes,
8/17,164,2,,,yes,
8/18,5,6,29,,,yes
8/18,29,4,5,,,yes
8/18,33,2,45,,,
8/18,37,5,131,,,
8/18,39,8,83,,,yes
8/18,45,7,33,,,yes
8/18,57,13,99,,,yes
8/18,75,5,139,,,
8/18,83,2,107,,,
8/18,95,3,107,,,
8/18,99,8,57,,,
8/18,105,2,93,,,
8/18,107,1,95,,,
8/18,123,1,167,,,
8/18,131,7,37,,,yes
8/18,133,10,159,,,yes
8/18,135,5,143,,,
8/18,139,1,75,,,
8/18,143,1,135,,,
8/18,155,5,161,,,
8/18,159,1,133,,,
8/18,161,1,155,,,
8/18,167,1,123,,,
8/18,68,2,78,,yes,
8/18,74,4,86,,yes,
8/18,78,4,68,,,
8/18,96,2,74,,yes,
8/18,152,3,,,yes,
8/18,162,2,68,,yes,
8/18,164,1,,,yes,
8/20,64,1,162,,,
8/20,74,6,96,,,
8/20,78,1,162,,,
8/20,96,8,74,,yes,
8/20,162,6,78,,yes,
8/20,5,7,29,,,
8/20,29,3,5,,,yes
8/20,33,3,45,,,yes
8/20,37,5,65,,,yes
8/20,39,5,69,,,yes
8/20,45,7,33,,,yes
8/20,57,7,65,,,yes
8/20,65,2,37,,,
8/20,69,3,39,,,
8/20,75,14,57,,,yes
8/20,83,3,,,,yes
8/20,87,9,99,,,
8/20,91,2,159,,,
8/20,93,2,105,,,
8/20,95,3,107,,,
8/20,99,11,87,,,
8/20,105,5,93,,,
8/20,107,5,95,,,
8/20,113,5,125,,,
8/20,125,17,113,,,yes
8/20,131,8,167,,,yes
8/20,135,10,143,,,
8/20,139,1,,,,yes
8/20,143,8,135,,,yes
8/20,155,5,161,,,
8/20,159,2,91,,,
8/20,161,3,155,,,
8/20,167,6,131,,,
8/21,10,5,146,D,,
8/21,178,3,68,,,
8/21,194,3,142,D,,
8/21,46,1,112,D,,
8/21,68,3,,,yes,
8/21,74,1,,,yes,
8/21,78,5,162,,,
8/21,96,4,74,,yes,
8/21,112,2,150,D,,
8/21,142,5,144,D,,
8/21,146,4,10,D,,
8/21,148,1,164,D,,
8/21,150,1,46,D,,
8/21,152,2,,,yes,
8/21,162,2,78,,yes,
8/21,164,1,148,,,
8/22,178,2,68,,,
8/22,68,1,178,,,
8/22,74,2,96,,,
8/22,78,2,,,yes,
8/22,96,7,74,,yes,
8/22,162,3,,,yes,
8/22,5,10,29,,,yes
8/22,29,2,5,,,
8/22,33,1,,,,yes
8/22,37,6,65,,,
8/22,39,7,69,,,yes
8/22,45,1,,,,yes
8/22,57,6,75,,,yes
8/22,65,5,37,,,
8/22,69,11,39,,,
8/22,75,12,57,,,yes
8/22,83,2,95,,,yes
8/22,87,6,91,,,
8/22,91,7,87,,,
8/22,95,6,83,,,yes
8/22,99,14,103,,,
8/22,103,6,99,,,
8/22,105,8,93,,,
8/22,107,6,133,,,
8/22,113,7,125,,,
8/22,117,3,131,,,
8/22,125,7,113,,,
8/22,131,15,117,,,
8/22,133,12,107,,,yes
8/22,135,12,143,,,yes
8/22,139,2,161,,,
8/22,143,11,135,,,yes
8/22,159,5,165,,,
8/22,161,3,139,,,
8/22,167,8,131,,,yes
8/25,5,7,29,,,yes
8/25,29,1,,,,yes
8/25,33,2,45,,,
8/25,37,4,77,,,yes
8/25,39,7,,,,yes
8/25,45,1,33,,,
8/25,57,1,75,,,
8/25,64,5,69,,,
8/25,69,4,64,,,yes
8/25,75,4,57,,,yes
8/25,77,3,37,,,yes
8/25,83,6,95,,,yes
8/25,85,2,93,,,
8/25,87,7,91,,,
8/25,91,12,87,,,yes
8/25,93,4,85,,,
8/25,95,1,83,,,
8/25,99,11,103,,,
8/25,101,2,123,,,yes
8/25,103,9,99,,,yes
8/25,105,9,143,,,
8/25,113,10,125,,,yes
8/25,117,4,123,,,
8/25,123,3,123,,,
8/25,125,11,113,,,
8/25,131,12,167,,,
8/25,133,6,135,,,yes
8/25,135,10,105,,,
8/25,139,6,161,,,
8/25,143,10,159,,,yes
8/25,159,8,135,,,yes
8/25,161,3,139,,,yes
8/25,167,5,131,,,
8/26,196,1,,,yes,
8/26,194,1,46,D,,
8/26,46,1,194,D,,
8/26,64,4,96,,yes,
8/26,68,1,,,yes,
8/26,78,7,64,,yes,
8/26,96,2,64,,yes,
8/26,126,1,64,,,
8/26,146,1,64,D,,
8/27,5,4,65,,,yes
8/27,21,3,45,,,
8/27,27,5,99,,,
8/27,33,5,45,,,
8/27,37,1,,,,yes
8/27,45,4,21,,,
8/27,47,2,21,,,
8/27,63,2,21,,,
8/27,65,4,5,,,
8/27,69,8,159,,,
8/27,75,4,27,,,yes
8/27,77,5,131,,,yes
8/27,79,7,85,,,
8/27,83,1,,,,yes
8/27,85,6,79,,,yes
