pid,type,treatment,row ,column,block,edge,cid,
116,DC,WAND,8,M,II,no,111,
117,TB,WOWE,9,M,II,yes,063,
118,DC,WE,1,N,II,yes,112,
119,TB,CON,2,N,II,no,,
120,DC,WOWE,3,N,II,no,113,
121,TB,WAND,4,N,II,no,064,
122,DC,CON,5,N,II,no,,
123,TB,WOWE,6,N,II,no,065,
124,DC,WAND,7,N,II,no,114,
125,TB,WE,8,N,II,no,066,
126,DC,WE,9,N,II,yes,115,
127,TB,CON,1,O,II,yes,,
128,DC,WAND,2,O,II,no,116,
129,TB,WE,3,O,II,no,067,
130,DC,WOWE,4,O,II,no,117,
131,TB,WOWE,5,O,II,no,077,
132,DC,CON,6,O,II,no,,
133,TB,WAND,7,O,II,no,078,
134,DC,WE,8,O,II,no,118,
135,TB,CON,9,O,II,yes,,
136,DC,WAND,1,P,II,yes,119,
137,TB,WOWE,2,P,II,no,079,
138,DC,CON,3,P,II,no,,
139,TB,WE,4,P,II,no,080,
140,DC,WE,5,P,II,no,120,
141,TB,WAND,6,P,II,no,081,
142,DC,WOWE,7,P,II,no,121,
143,TB,CON,8,P,II,no,,
144,DC,WAND,9,P,II,yes,122,
145,TB,WAND,1,Q,III,yes,082,
146,DC,CON,2,Q,III,no,,
147,TB,WE,3,Q,III,no,083,
148,DC,WOWE,4,Q,III,no,123,
149,TB,WOWE,5,Q,III,no,084,
150,DC,WE,6,Q,III,no,124,
151,TB,CON,7,Q,III,no,,
152,DC,WAND,8,Q,III,yes,125,
153,TB,CON,1,R,III,yes,,
154,DC,WAND,2,R,III,no,126,
155,TB,WE,3,R,III,no,085,
156,DC,CON,4,R,III,no,,
157,TB,WOWE,5,R,III,no,086,
158,DC,WE,6,R,III,no,127,
159,TB,WAND,7,R,III,no,087,
160,DC,WOWE,8,R,III,yes,128,
161,TB,WE,1,S,III,yes,088,
162,DC,WE,2,S,III,no,129,
163,TB,CON,3,S,III,no,,
164,DC,WOWE,4,S,III,no,131,
165,TB,WAND,5,S,III,no,089,
166,DC,CON,6,S,III,no,,
167,TB,WOWE,7,S,III,no,090,
168,DC,WE,8,S,III,yes,132,
